date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:27	277/277	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jul%202023%2006:21:31%20GMT	https://shreethemes.in/assets/images/job/curve-shape-dark.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/assets/images/job/curve-shape-dark.png	(from https://shreethemes.in/techwind/layouts/index-job.html)
11:51:28	9941/9941	---M--	200	added ('OK')	image/png	etag:%2226d5-5df1d67255af1%22	https://shreethemes.in/techwind/layouts/assets/images/client/shree-logo.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/client/shree-logo.png	(from https://shreethemes.in/techwind/layouts/index-job.html)
11:51:28	14165/14165	---M--	200	added ('OK')	image/png	etag:%223755-5df1d67255af1%22	https://shreethemes.in/techwind/layouts/assets/images/client/skype.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/client/skype.png	(from https://shreethemes.in/techwind/layouts/index-job.html)
11:51:28	10251/10251	---M--	200	added ('OK')	image/png	etag:%22280b-5df1d67255af1%22	https://shreethemes.in/techwind/layouts/assets/images/client/snapchat.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/client/snapchat.png	(from https://shreethemes.in/techwind/layouts/index-job.html)
11:51:28	8030/8030	---M--	200	added ('OK')	image/png	etag:%221f5e-5df1d67255af1%22	https://shreethemes.in/techwind/layouts/assets/images/client/spotify.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/client/spotify.png	(from https://shreethemes.in/techwind/layouts/index-job.html)
11:51:29	5457/5457	---M--	200	added ('OK')	image/png	etag:%221551-5df1d67255af1%22	https://shreethemes.in/techwind/layouts/assets/images/client/telegram.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/client/telegram.png	(from https://shreethemes.in/techwind/layouts/index-job.html)
11:51:29	14596/14596	---M--	200	added ('OK')	image/png	etag:%223904-5df1d67255af1%22	https://shreethemes.in/techwind/layouts/assets/images/client/whatsapp.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/client/whatsapp.png	(from https://shreethemes.in/techwind/layouts/index-job.html)
11:51:29	10603/10603	---M--	200	added ('OK')	image/png	etag:%22296b-5df1d67255af1%22	https://shreethemes.in/techwind/layouts/assets/images/client/android.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/client/android.png	(from https://shreethemes.in/techwind/layouts/index-job.html)
11:51:29	13924/13924	---M--	200	added ('OK')	image/png	etag:%223664-5df1d67255af1%22	https://shreethemes.in/techwind/layouts/assets/images/client/google-logo.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/client/google-logo.png	(from https://shreethemes.in/techwind/layouts/index-job.html)
11:51:29	89447/89447	---M-Z	200	added ('OK')	application/javascript	etag:%2215d67-5f41c36209b5d-gzip%22	https://shreethemes.in/techwind/layouts/assets/libs/choices.js/public/assets/scripts/choices.min.js	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/libs/choices.js/public/assets/scripts/choices.min.js	(from https://shreethemes.in/techwind/layouts/index-job.html)
11:51:30	277/277	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jul%202023%2006:21:33%20GMT	https://shreethemes.in/assets/images/business/bg01.jpg	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/assets/images/business/bg01.jpg	(from https://shreethemes.in/techwind/layouts/index-business.html)
11:51:30	137142/137142	---M--	200	added ('OK')	image/png	etag:%22217b6-5df1d6727cbf1%22	https://shreethemes.in/techwind/layouts/assets/images/startup/02.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/startup/02.png	(from https://shreethemes.in/techwind/layouts/index-startup.html)
